iter	Passed	Remaining
0	147	14568
1	148	7278
2	149	4839
3	150	3617
4	151	2872
5	151	2378
6	152	2028
7	153	1764
8	154	1559
9	155	1395
10	155	1261
11	156	1149
12	157	1053
13	158	972
14	159	901
15	160	840
16	160	784
17	161	736
18	162	692
19	163	654
20	164	618
21	165	586
22	166	556
23	167	529
24	167	503
25	168	480
26	169	458
27	170	438
28	171	419
29	172	402
30	173	385
31	174	370
32	175	355
33	175	341
34	176	328
35	177	315
36	178	304
37	179	292
38	180	281
39	180	271
40	181	261
41	182	252
42	183	242
43	184	234
44	184	225
45	185	217
46	186	210
47	186	202
48	187	195
49	188	188
50	188	181
51	189	175
52	190	168
53	191	162
54	191	157
55	192	151
56	193	146
57	194	140
58	195	135
59	195	130
60	196	125
61	197	120
62	198	116
63	198	111
64	199	107
65	200	103
66	201	99
67	201	94
68	202	91
69	203	87
70	204	83
71	204	79
72	205	76
73	206	72
74	207	69
75	208	65
76	208	62
77	209	59
78	210	55
79	211	52
80	211	49
81	212	46
82	213	43
83	213	40
84	214	37
85	215	35
86	216	32
87	217	29
88	217	26
89	218	24
90	219	21
91	220	19
92	220	16
93	221	14
94	222	11
95	223	9
96	224	6
97	225	4
98	226	2
99	226	0
